나자, 159, 64
파나, 185, 60
라하, 164, 87
차라, 183, 57
바차, 161, 99
자라, 173, 51
다타, 161, 59
사바, 155, 56
라나, 189, 84
카하, 162, 93
파마, 170, 62
자마, 159, 79
자라, 196, 64
차마, 157, 92
차라, 174, 92
타바, 185, 52
차아, 191, 84
라차, 169, 99
타나, 176, 89
타타, 167, 66
아하, 199, 74
마가, 169, 86
라가, 186, 55
카사, 190, 63
사차, 160, 50
다나, 167, 86
나사, 152, 78
아타, 193, 74
사카, 177, 61
라자, 168, 67
사아, 182, 72
가나, 177, 71
아가, 158, 89
하카, 172, 88
마자, 159, 84
카가, 195, 78
가카, 171, 56
차자, 165, 69
다타, 173, 69
타파, 194, 60
아다, 169, 71
사차, 160, 86
아바, 162, 63
타가, 186, 98
나파, 159, 57
자마, 194, 76
카라, 182, 83
마카, 194, 65
하타, 183, 84
하나, 169, 68
파나, 177, 56
다나, 178, 77
다하, 181, 87
카자, 158, 78
라바, 156, 54
하자, 197, 93
카라, 158, 77
아아, 195, 60
마아, 187, 62
타자, 155, 75
사아, 169, 50
자차, 188, 97
다카, 189, 99
카가, 159, 82
다바, 167, 74
마가, 184, 88
라하, 196, 74
아차, 164, 66
파파, 163, 88
카하, 158, 82
마라, 196, 70
마하, 167, 84
하카, 156, 59
사라, 199, 62
라나, 177, 51
마라, 190, 51
가라, 160, 55
라자, 152, 96
마마, 154, 69
자차, 166, 57
바사, 154, 72
하마, 169, 50
하나, 151, 74
차자, 175, 55
가다, 157, 59
바라, 159, 69
바아, 164, 70
나바, 195, 54
바나, 170, 69
카차, 189, 75
가차, 187, 65
아다, 150, 71
마하, 159, 70
다마, 183, 74
마사, 198, 96
아아, 198, 68
파나, 151, 52
마파, 192, 72
차타, 195, 99
마카, 161, 58
아하, 185, 74
파바, 162, 69
차바, 186, 87
바사, 171, 98
자카, 155, 97
다타, 150, 84
파나, 156, 53
마나, 185, 61
바나, 156, 66
라카, 190, 93
타마, 161, 64
사타, 159, 80
아가, 185, 50
다아, 176, 84
마하, 188, 81
사카, 196, 83
나바, 161, 55
사차, 186, 61
나사, 160, 74
카파, 185, 89
차바, 152, 94
카라, 191, 98
나자, 194, 84
라바, 178, 54
다자, 180, 55
타사, 174, 93
가가, 164, 55
하가, 191, 55
마라, 187, 70
마파, 153, 87
카다, 192, 73
하타, 156, 89
자자, 152, 74
자아, 155, 63
나차, 180, 63
바자, 163, 89
아바, 166, 56
라파, 151, 75
자가, 162, 69
사카, 153, 61
나자, 181, 56
파라, 192, 99
라사, 185, 79
하사, 180, 98
나마, 185, 73
아다, 163, 72
마타, 173, 98
나가, 188, 99
파나, 184, 93
나라, 166, 85
파가, 168, 85
라자, 167, 81
바파, 184, 54
나카, 151, 86
타라, 159, 67
